"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100325354","10087390P9","POTENTIAL TAP 35D","","FLOR","2","0","0","H87","0"
"100325355","10087391P2","SC POT NEUTRAL 12-20A 40D","","FLOR","3","0","0","H87","0"
"100325356","10087399P1","SC AUX NEUTRAL 08A 30D","","FLOR","4","0","0","H87","0"
"100325357","10087399P33","SA AUX NEUTRAL 08A 30D","","FLOR","5","0","0","H87","0"
"100325358","10087399P35","SA AUX NEUTRAL 08A 40D","","FLOR","2","0","0","H87","0"
"100325359","10087399P36","SA AUX NEUTRAL 08A 45D","","FLOR","2","0","0","H87","0"
"100325360","10087399P50","SA AUX NEUTRAL 12A 50D","","FLOR","2","0","0","H87","0"
"100325361","10087399P54","SA AUX NEUTRAL 16A 40D","","FLOR","2","0","0","H87","0"
"100325362","10087404P1","SM NEUTRAL POT BRKT","","FLOR","19","0","0","H87","0"
"100325363","10087406P2","SM AUX NEUTRAL BRKT","","FLOR","486","0","0","H87","0"
"100325364","10087406P3","SM AUX NEUTRAL BRKT","","FLOR","151","0","0","H87","0"
"100325365","10087412P45","SM BARRIER EUC CT 04-10A 55D","","FLOR","2","0","0","H87","0"
"100325366","10087412P50","SM BARRIER EUC CT 12-20A 50D","","FLOR","1","0","0","H87","0"
"100325367","10087415P2","SI MAIN INSULATOR","","FLOR","3","0","0","H87","0"
"100325368","10087415P4","SI MAIN INSULATOR","","FLOR","18","0","0","H87","0"
"100325369","10087415P6","SI MAIN INSULATOR","","FLOR","1","0","0","H87","0"
"100325370","10087461P15","SA AUX NEUTRAL 16A","","FLOR","2","0","0","H87","0"
"100325371","10087461P20","SA AUX NEUTRAL 20A","","FLOR","1","0","0","H87","0"
"100325372","10087474P1","SI SIDE BARRIER 18D 40H 20A","","FLOR","2","0","0","H87","0"
"100325373","10087474P2","UI VERTICAL SIDE BARRIER","","FLOR","2","0","0","H87","0"
"100325374","10087475P1","SA SIDE BARRIER 18D 40H 20A","","FLOR","4","0","0","H87","0"
"100325375","10087475P2","UA VERTICAL SIDE BARRIER","","FLOR","2","0","0","H87","0"
"100325376","10087488P26","10087488P26.PRT","","FLOR","7","0","0","H87","0"
"100325377","10087488P8","UC NEUT CONN STD 10D TP","","FLOR","1","0","0","H87","0"
"100325378","10087509P1","CHANNEL BRC CU 45W 13T 16-30A","","FLOR","4","0","0","H87","0"
"100325379","10087803P23","SI BARRIER SUPPORT 40W","","FLOR","2","0","0","H87","0"
"100325380","10087803P26","SI BARRIER SUPPORT 13H","","FLOR","2","0","0","H87","0"
